"PlaceId";"Latitude";"Longitude";"State"
1;37.57306;-119.665;"CA"
2;37.87111;-119.36;"CA"
3;37.73611;-119.5625;"CA"
4;37.19861;-112.98639;"UT"
5;37.74194;-119.56556;"CA"
6;37.76389;-119.84444;"CA"
7;37.66222;-119.61972;"CA"
8;40.62556;-122.58083;"CA"
9;45.01246;-86.0947;"MI"
10;44.89167;-86.04278;"MI"
11;44.71278;-86.11778;"MI"
12;37.74083;-119.56667;"CA"
13;37.79889;-119.86583;"CA"
14;36.60671;-118.7258;"CA"
15;40.32917;-105.59333;"CO"
16;40.3625;-105.60194;"CO"
17;38.52862;-78.43873;"VA"
18;36.63611;-118.80972;"CA"
19;58.55972;-155.77806;"AK"
20;46.76722;-121.79444;"WA"
21;47.61306;-124.37472;"WA"
22;46.73111;-121.57028;"WA"
23;37.19028;-86.09139;"KY"
24;37.20722;-86.13167;"KY"
25;34.07167;-116.38917;"CA"
26;35.55333;-83.30861;"NC"
27;35.65833;-83.58222;"TN"
28;33.99917;-116.11806;"CA"
29;33.75;-115.825;"CA"
30;34.12;-116.15583;"CA"
31;35.46278;-83.43444;"NC"
32;35.75333;-83.20861;"TN"
33;35.53944;-83.29778;"NC"
34;35.62778;-83.1125;"NC"
35;35.61833;-83.21;"NC"
36;35.75972;-83.10417;"NC"
37;35.60028;-83.76722;"TN"
38;36.21028;-112.06056;"AZ"
39;33.47985;-119.02989;"CA"
40;34.01419;-119.36779;"CA"
41;36.04972;-112.12047;"AZ"
42;37.84035;-122.48889;"CA"
43;48.75083;-113.44694;"MT"
44;35.6025;-83.77667;"TN"
45;36.46306;-116.86778;"CA"
46;34.04824;-119.5616;"CA"
47;34.01083;-119.66028;"CA"
48;39.65389;-77.46694;"MD"
49;35.60361;-83.77056;"TN"
50;35.12278;-75.92611;"NC"
51;25.13861;-80.94167;"FL"
52;48.54778;-113.98528;"MT"
53;38.08333;-75.2;"MD"
54;29.1825;-102.96083;"TX"
55;35.96806;-81.93222;"NC"
56;36.67806;-84.51889;"TN"
57;36.48778;-84.69083;"TN"
58;36.07306;-92.55694;"AR"
59;36.9625;-90.98306;"MO"
60;37.28306;-91.40833;"MO"
61;36.13889;-81.73111;"NC"
62;29.275;-103.30417;"TX"
63;40.52917;-121.56389;"CA"
64;40.49028;-121.42361;"CA"
65;40.49444;-121.425;"CA"
66;40.5625;-121.51667;"CA"
67;38.55056;-107.68667;"CO"
68;38.46778;-107.17583;"CO"
69;38.77694;-109.58917;"UT"
70;48.675;-121.26111;"WA"
71;48.28638;-118.12003;"WA"
72;47.9046;-118.30915;"WA"
73;38.45889;-107.33;"CO"
74;38.49111;-107.09694;"CO"
75;38.48528;-107.24;"CO"
76;38.48556;-107.17222;"CO"
77;37.63444;-112.16694;"UT"
78;37.14722;-91.44972;"MO"
